WKR_NR;Gebiet;gehört zu;Gewählt;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;SPD;SPD;SPD;SPD;CDU;CDU;CDU;CDU;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;FDP;FDP;FDP;FDP;AFD;AFD;AFD;AFD;CSU;CSU;CSU;CSU;DIELINKE;DIELINKE;DIELINKE;DIELINKE
;;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode
79;Berlin-Charlottenburg-Wilmersdorf;11;Christlich Demokratische Union Deutschlands;195504;195586;195504;195586;162302;133235;162302;133235;1334;1419;759;1436;160968;131816;161543;131799;38183;33723;28927;28894;42271;33023;37333;29035;38672;33119;35121;35201;7062;10222;10335;13934;13869;7062;14328;7950;;;;;17861;7417;23464;8638
80;Berlin-Tempelhof-Schöneberg;11;BÜNDNIS 90/DIE GRÜNEN;229228;231477;229228;231477;186814;172069;186814;172069;1795;2613;1136;2731;185019;169456;185678;169338;37948;45220;32866;41215;45571;37902;38863;31751;45632;42680;36894;42791;5025;12041;7181;15633;20623;10013;20985;10921;;;;;22362;10177;32091;12706
81;Berlin-Neukölln;11;Die Linke;192506;196593;192506;196593;146235;134004;146235;134004;1396;2926;1063;2480;144839;131078;145172;131524;27265;33880;22853;31498;28488;25173;26185;22400;16137;25790;22260;29474;2792;8240;4033;9325;18893;10047;18874;10089;;;;;43412;16943;36687;15616
82;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;11;Die Linke;218729;218824;218729;218824;180876;151276;180876;151276;1836;1644;736;1507;179040;149632;180140;149769;23516;24416;24137;26326;17940;12706;16721;11990;54769;56602;46622;55147;4272;6784;5010;7834;13846;6999;12996;7379;;;;;62050;27024;57056;27862
83;Berlin-Treptow-Köpenick;11;Die Linke;206841;206999;206841;206999;169813;156625;169813;156625;1133;2450;1030;2754;168680;154175;168783;153871;14472;23684;21403;35690;23747;21016;25858;20562;8081;15806;20226;24686;2961;8950;4949;12190;34646;17978;36410;19322;;;;;70572;54548;36609;24609
84;Berlin-Marzahn-Hellersdorf;11;Alternative für Deutschland;195867;198002;195867;198002;149485;133719;149485;133719;1287;2658;1041;2870;148198;131061;148444;130849;12927;18901;16171;29991;43262;38914;24498;21887;6089;8064;8911;11207;1869;5859;3802;9372;43743;20980;46294;22665;;;;;24883;28572;24746;20755
85;Berlin-Lichtenberg;11;Die Linke;196799;200461;196799;200461;155424;143826;155424;143826;1273;2719;1094;2659;154151;141107;154330;141167;13928;27413;18332;32403;27185;17696;21231;16891;8109;19179;16698;21777;2231;8463;3878;9796;33703;17415;34638;17916;;;;;52374;36409;36199;25840
11;Berlin;99;;2442031;2460618;2442031;2460618;1961161;1709738;1961161;1709738;18694;27619;11762;26793;1942467;1682119;1949399;1682945;326627;366569;295190;374413;413863;339234;356091;289140;338209;346880;328022;370735;52616;106292;74110;136998;294530;151449;296999;159025;;;;;423489;238776;387142;194010
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Aachen I;5;Christlich Demokratische Union Deutschlands;172442;176306;172442;176306;143849;140020;143849;140020;2902;1107;865;727;140947;138913;142984;139293;27720;33087;25205;30588;45545;35562;34180;31772;39377;41942;34769;40421;5916;10906;6870;15032;;5314;13891;5427;;;;;13162;6161;18398;7453
87;Aachen II;5;Christlich Demokratische Union Deutschlands;224835;226420;224835;226420;182360;170670;182360;170670;6369;1883;1396;1583;175991;168787;180964;169087;53748;58189;37902;53408;70536;54808;57089;49838;13269;19976;17002;19918;8190;12055;7599;17892;;12632;34578;12409;;;;;13329;4496;12303;5259
88;Heinsberg;5;Christlich Demokratische Union Deutschlands;192359;192346;192359;192346;157147;145368;157147;145368;1588;1649;1114;1397;155559;143719;156033;143971;29810;37249;26662;38822;64623;57095;54975;46466;11799;15368;13621;16858;4680;10691;6516;16023;30788;10965;31410;11359;;;;;8958;3608;9855;4529
89;Düren;5;Christlich Demokratische Union Deutschlands;199302;199656;199302;199656;164549;153645;164549;153645;1449;1707;1130;1516;163100;151938;163419;152129;35854;46734;30306;44058;64996;55719;54483;46217;12153;14174;13843;16951;4591;11237;7006;17104;33137;12947;33517;13171;;;;;9105;3449;10498;4570
90;Rhein-Erft-Kreis I;5;Christlich Demokratische Union Deutschlands;247391;249035;247391;249035;207174;194862;207174;194862;1832;1909;1209;1461;205342;192953;205965;193401;53609;58858;40600;54714;71773;63635;65147;55068;20959;25409;23825;27566;7549;17542;10293;24227;34346;13537;34400;13417;;;;;13221;5889;14819;5682
91;Euskirchen – Rhein-Erft-Kreis II;5;Christlich Demokratische Union Deutschlands;248663;249198;248663;249198;207633;192814;207633;192814;2114;2031;1265;1540;205519;190783;206368;191274;42467;50892;36497;50949;78883;65981;69739;58081;19549;25005;22512;26161;8498;19805;9905;23314;37837;14999;37881;14894;;;;;11457;4993;12960;5730
92;Köln I;5;Sozialdemokratische Partei Deutschlands;190951;190630;190951;190630;153110;140901;153110;140901;1515;1097;877;821;151595;139804;152233;140080;37717;38985;29775;36933;37261;31636;33934;27695;30496;33405;27273;33501;4672;11490;6409;15040;20022;8789;18853;8363;;;;;16894;7213;22716;8267
