WKR_NR;Gebiet;gehört zu;Gewählt;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;SPD;SPD;SPD;SPD;CDU;CDU;CDU;CDU;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;FDP;FDP;FDP;FDP;AFD;AFD;AFD;AFD;CSU;CSU;CSU;CSU;DIELINKE;DIELINKE;DIELINKE;DIELINKE
;;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode
194;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;16;Alternative für Deutschland;211549;219437;211549;219437;172601;166531;172601;166531;1267;2037;1161;1908;171334;164494;171440;164623;14260;30791;12905;35019;35224;34489;30756;27008;4340;6292;5055;7383;3834;12343;4811;15428;76207;48177;73580;46381;;;;;21113;19968;23080;18489
195;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;16;Alternative für Deutschland;219979;230071;219979;230071;176252;171108;176252;171108;1392;2146;1269;1983;174860;168962;174983;169125;18315;56791;14606;42446;33940;37729;30596;27923;2829;3615;4334;7221;4205;10686;4547;13990;73609;35887;75405;44572;;;;;18445;14135;21952;18486
16;Thüringen;99;;1652367;1707726;1652367;1707726;1333615;1279720;1333615;1279720;10393;16639;9481;14809;1323222;1263081;1324134;1264911;131841;299024;115915;296446;272828;264026;246072;213414;36821;68185;56084;83220;28124;89008;37286;114283;512068;298971;510519;303233;;;;;209943;155618;200691;144693
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;Neuwied;7;Christlich Demokratische Union Deutschlands;236097;238118;236097;238118;194327;181837;194327;181837;1937;2058;1227;1544;192390;179779;193100;180293;42315;54320;35679;54018;68501;57430;62297;48338;11919;16559;15674;18930;6858;15931;8488;20751;40363;16810;41996;17504;;;;;9691;5005;11694;5417
197;Ahrweiler;7;Christlich Demokratische Union Deutschlands;191196;195109;191196;195109;159654;148466;159654;148466;1701;1861;965;1379;157953;146605;158689;147087;30537;44325;28429;42303;62012;50281;55289;41942;14413;15553;15725;17685;5282;12124;7563;17484;28335;10823;29076;11322;;;;;8224;3537;9069;3851
198;Koblenz;7;Christlich Demokratische Union Deutschlands;189619;193035;189619;193035;155945;147127;155945;147127;1653;1815;994;1224;154292;145312;154951;145903;37659;43416;30233;42817;55097;46073;48758;37958;15001;17980;18026;21007;4703;11179;7405;16371;24836;9753;25417;10426;;;;;9028;4054;11900;4804
199;Mosel/Rhein-Hunsrück;7;Christlich Demokratische Union Deutschlands;168634;171102;168634;171102;142280;134717;142280;134717;2098;2348;1058;1455;140182;132369;141222;133262;27079;35570;25141;38015;53505;45364;49309;38664;10039;12833;10918;12230;7588;15664;7521;16664;27058;10646;27721;11061;;;;;6495;;7411;3725
200;Kreuznach;7;Christlich Demokratische Union Deutschlands;179528;182380;179528;182380;146442;138109;146442;138109;1505;2008;991;1451;144937;136101;145451;136658;38085;44976;29494;44259;46766;39589;44074;33433;7764;9958;11570;12903;4714;9753;6425;15704;30689;12972;32452;13510;;;;;6352;4294;8583;4454
201;Bitburg;7;Christlich Demokratische Union Deutschlands;161723;163493;161723;163493;134564;124449;134564;124449;1590;1852;950;1395;132974;122597;133614;123054;27098;33632;22634;34343;53458;46340;48896;37086;7362;8512;10070;11411;4154;9011;6041;13997;22265;7947;23936;8794;;;;;4894;2875;6622;3265
202;Trier;7;–;187536;190530;187536;190530;156858;147171;156858;147171;1442;1738;931;1540;155416;145433;155927;145631;47052;47942;31155;44123;47841;40299;47886;34578;12834;18939;19025;22708;6151;10135;7266;16206;22101;8230;24103;9001;;;;;7774;5126;11944;5712
203;Montabaur;7;Christlich Demokratische Union Deutschlands;209489;210816;209489;210816;174499;164165;174499;164165;2185;2172;1577;1454;172314;161993;172922;162711;40265;50975;31353;49346;61540;48607;56164;43125;10840;14176;14638;16832;5479;15101;7959;19021;35333;14090;36388;14565;;;;;8708;4483;10315;4690
204;Mainz;7;–;251092;249630;251092;249630;214604;202670;214604;202670;1917;2669;1382;1382;212687;200001;213222;201288;50411;49878;39496;53889;57971;47153;56549;42659;40617;37319;44146;46183;8031;14408;10914;23178;21665;10360;23043;10833;;;;;19431;24863;23596;9418
205;Worms;7;Christlich Demokratische Union Deutschlands;211985;212943;211985;212943;178231;166636;178231;166636;1976;2491;1533;1814;176255;164145;176698;164822;39042;49748;33740;49656;62290;52827;50919;37548;13996;15949;18870;20799;5171;12966;8240;20095;35866;16043;38743;17033;;;;;8638;5070;11219;5068
206;Ludwigshafen/Frankenthal;7;–;205998;210969;205998;210969;163106;154911;163106;154911;2081;2122;1444;1653;161025;152789;161662;153258;42212;50108;31416;45895;43626;38193;44478;33726;12367;17061;14377;18128;5736;13688;7095;18421;37119;17740;37872;18075;;;;;7794;4648;11028;4651
207;Neustadt – Speyer;7;Christlich Demokratische Union Deutschlands;217120;219416;217120;219416;182171;173828;182171;173828;1700;2178;1241;1506;180471;171650;180930;172322;39588;48158;32815;47121;62618;51770;54948;41322;16908;20869;21329;23949;5580;14624;8796;21823;35239;17204;36881;17499;;;;;7117;4535;10071;4880
208;Kaiserslautern;7;Sozialdemokratische Partei Deutschlands;219832;224701;219832;224701;179200;169206;179200;169206;2318;2409;1557;1742;176882;166797;177643;167464;49462;56523;36500;54460;42591;35803;44231;33226;10099;14589;14624;17611;5137;11870;6973;17242;45159;20002;45952;20702;;;;;7397;6753;10770;6383
209;Pirmasens;7;Christlich Demokratische Union Deutschlands;167724;174093;167724;174093;139067;132470;139067;132470;1840;2004;1383;1747;137227;130466;137684;130723;28474;39711;23976;38261;45682;39236;41657;33507;6112;7891;8138;9877;4078;9895;5666;14374;34424;16512;37286;17178;;;;;4924;3678;6594;4207
210;Südpfalz;7;Christlich Demokratische Union Deutschlands;216108;217000;216108;217000;179904;171259;179904;171259;1717;1627;1327;1583;178187;169632;178577;169676;34273;47901;30705;47028;68122;47860;55080;39421;13802;19058;19800;22882;4686;17011;7684;21120;35589;16658;37867;17702;;;;;7114;5222;10928;5598
7;Rheinland-Pfalz;99;;3013681;3053335;3013681;3053335;2500852;2357021;2500852;2357021;27660;31352;18560;22869;2473192;2325669;2482292;2334152;573552;697183;462766;685534;831620;686825;760535;576533;204073;247246;256930;293135;83348;193360;114036;272451;476041;205790;498733;215205;;;;;123581;84143;161744;76123
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Altötting;9;Christlich-Soziale Union in Bayern e.V.;167997;168656;167997;168656;137711;129441;137711;129441;743;880;457;681;136968;128561;137254;128760;11870;14620;11493;18309;;;;;10399;11145;10713;12248;4037;9245;4887;13298;32226;14220;33187;13940;60164;55693;54393;44060;5867;3155;6212;2769
212;Erding – Ebersberg;9;Christlich-Soziale Union in Bayern e.V.;201032;200569;201032;200569;175170;168337;175170;168337;727;1132;439;734;174443;167205;174731;167603;17609;24205;17630;25693;;;;;23383;24840;22730;24620;6323;13226;8831;20228;27275;11448;28849;12228;80087;70656;70010;55992;6856;3355;8824;3648
213;Freising;9;Christlich-Soziale Union in Bayern e.V.;238346;237250;238346;237250;205009;194002;205009;194002;942;1237;579;883;204067;192765;204430;193119;23357;25950;20234;29085;;;;;25718;24058;23759;26055;5803;14687;8898;21738;36965;18042;38981;17515;88023;69689;78633;62930;8630;3898;10646;4456
214;Fürstenfeldbruck;9;Christlich-Soziale Union in Bayern e.V.;230186;231905;230186;231905;199419;192779;199419;192779;822;1489;523;927;198597;191290;198896;191852;29795;36831;23134;31141;;;;;23886;25363;27778;30537;8748;16029;10015;23046;27997;13056;29818;13209;84648;72721;78928;63944;7312;3216;10605;4192
215;Ingolstadt;9;Christlich-Soziale Union in Bayern e.V.;235847;238384;235847;238384;196036;187395;196036;187395;956;1167;704;856;195080;186228;195332;186539;21555;25954;19812;31592;;;;;14531;18182;18024;20833;3711;10877;7350;19797;39220;17806;41850;18694;91837;83663;78647;64577;7730;4648;9258;4450
216;München-Nord;9;Christlich-Soziale Union in Bayern e.V.;223690;223683;223690;223683;185755;175551;185755;175551;1017;880;523;649;184738;174671;185232;174902;36593;38172;28582;33241;;;;;44697;42319;42281;44861;8536;19477;12394;25953;16685;7591;17688;8250;59872;44854;53494;39986;12121;6216;16785;7044
217;München-Ost;9;Christlich-Soziale Union in Bayern e.V.;243727;242591;243727;242591;204779;193958;204779;193958;1063;906;588;687;203716;193052;204191;193271;31514;38243;30928;36106;;;;;49343;42367;44955;47647;8250;18104;12795;27112;18438;8066;19672;8978;73929;61159;63472;49286;12464;4907;17133;7080
218;München-Süd;9;–;214876;214606;214876;214606;181033;172970;181033;172970;629;841;444;599;180404;172129;180589;172371;26427;33924;28005;33117;;;;;53695;47256;43483;45562;7163;16437;10046;21495;15864;7641;16773;7910;54803;46059;51845;40585;9819;6236;16846;7669
219;München-West/Mitte;9;Christlich-Soziale Union in Bayern e.V.;246546;242252;246546;242252;210770;198272;210770;198272;2754;955;447;647;208016;197317;210323;197625;32990;39182;32280;37513;;;;;60196;53174;52687;54303;10324;19153;12529;26401;;7594;18815;8403;72171;53311;60481;45540;12671;6975;18658;8219
220;München-Land;9;Christlich-Soziale Union in Bayern e.V.;233438;234912;233438;234912;205557;199333;205557;199333;798;1041;464;723;204759;198292;205093;198610;27304;30237;26648;34189;;;;;40043;40475;35335;36817;8785;18180;12981;28696;22919;9816;24069;10489;88197;77523;80084;64669;8428;3685;10311;4449
221;Rosenheim;9;Christlich-Soziale Union in Bayern e.V.;238400;237390;238400;237390;201569;191410;201569;191410;954;1346;658;849;200615;190064;200911;190561;17905;22869;19265;27406;;;;;25185;26183;25018;25962;5724;17682;9362;23049;36811;15764;39370;16570;82005;68670;75528;59126;9147;4091;10130;4607
222;Bad Tölz-Wolfratshausen – Miesbach;9;Christlich-Soziale Union in Bayern e.V.;165905;166662;165905;166662;141866;136106;141866;136106;716;1765;468;750;141150;134341;141398;135356;10901;15428;12829;18276;;;;;20820;20829;17584;18138;4754;11636;7507;17048;23293;;24280;10835;65482;55501;59231;46304;4695;2643;5717;2908
223;Starnberg – Landsberg am Lech;9;Christlich-Soziale Union in Bayern e.V.;214841;214828;214841;214828;188348;180978;188348;180978;855;1158;634;714;187493;179820;187714;180264;24165;23985;21598;28584;;;;;31338;35809;31552;32663;6665;16585;10962;23893;24163;10715;25281;11066;80382;68617;72605;57906;6441;3701;9709;4446
224;Traunstein;9;Christlich-Soziale Union in Bayern e.V.;208678;208815;208678;208815;172572;163876;172572;163876;818;1282;548;817;171754;162594;172024;163059;20845;27644;16925;25190;;;;;14985;17219;17677;19985;3270;12268;5891;15747;30995;12671;34619;14027;80507;59555;66829;51421;6885;3537;7515;3943
225;Weilheim;9;Christlich-Soziale Union in Bayern e.V.;168223;168473;168223;168473;143715;138039;143715;138039;801;1444;388;879;142914;136595;143327;137160;13488;19682;13888;19927;;;;;18129;16300;17098;18397;6356;8553;6760;14311;22082;9686;24240;10873;65407;57179;59685;48178;5698;2718;6870;3124
226;Deggendorf;9;Christlich-Soziale Union in Bayern e.V.;165283;166186;165283;166186;135617;127193;135617;127193;709;691;381;549;134908;126502;135236;126644;12155;19527;10912;19873;;;;;6512;6890;6856;8516;5187;6325;4283;10778;36248;17432;39532;17911;58446;47267;52052;42154;3068;1895;4179;2301
227;Landshut;9;Christlich-Soziale Union in Bayern e.V.;246199;246854;246199;246854;208264;195589;208264;195589;874;1639;633;823;207390;193950;207631;194766;18819;22468;19652;30931;;;;;17136;21811;18059;20087;6437;22774;7728;20204;42148;19184;46439;19973;71014;70685;75251;64383;7564;3955;9600;4186
228;Passau;9;Christlich-Soziale Union in Bayern e.V.;176118;177563;176118;177563;144127;136625;144127;136625;597;1145;406;573;143530;135480;143721;136052;20120;28341;13904;23892;;;;;7425;12098;9821;12645;3072;10513;4706;12782;33776;16215;36665;16023;58538;41530;55447;44215;4172;2681;5692;3093
229;Rottal-Inn;9;Christlich-Soziale Union in Bayern e.V.;172567;173632;172567;173632;142729;133885;142729;133885;663;1438;407;639;142066;132447;142322;133246;9947;15794;10899;19108;;;;;7688;10188;7841;9495;2625;10210;4272;12904;32882;16808;37105;16384;49581;46493;54707;45687;4166;1912;4990;2487
230;Straubing;9;Christlich-Soziale Union in Bayern e.V.;172562;173772;172562;173772;141572;132955;141572;132955;629;877;454;712;140943;132078;141118;132243;11133;16312;11321;19938;;;;;7241;8613;7466;8964;2715;6895;4279;11603;36671;16794;39113;17402;65291;58487;55427;46742;4394;1936;4934;2468
231;Amberg;9;Christlich-Soziale Union in Bayern e.V.;213946;216071;213946;216071;181998;173297;181998;173297;865;1300;670;939;181133;171997;181328;172358;19705;27476;19333;31547;;;;;12177;13908;13961;16191;4699;10213;5968;15067;38359;17822;40019;17958;80626;69278;72724;60430;7316;4158;7977;4095
232;Regensburg;9;Christlich-Soziale Union in Bayern e.V.;250692;248192;250692;248192;212425;198937;212425;198937;757;1225;567;762;211668;197712;211858;198175;27602;32850;23589;34563;;;;;27691;30333;28292;32094;5231;13754;7406;18773;37931;16557;39743;17343;80980;69842;75587;61187;9721;6023;14778;6798
233;Schwandorf;9;Christlich-Soziale Union in Bayern e.V.;220942;222424;220942;222424;185064;174957;185064;174957;915;1202;557;812;184149;173755;184507;174145;25536;39615;17112;31209;;;;;7512;7934;9172;11179;3426;7341;4927;12650;49700;23142;51974;23508;77716;60924;72443;59430;4913;3043;6052;3394
234;Weiden;9;Christlich-Soziale Union in Bayern e.V.;162689;165807;162689;165807;136797;132247;136797;132247;653;823;435;891;136144;131424;136362;131356;16294;29573;15931;29461;;;;;6624;6633;7926;9170;4126;6303;4169;9601;31351;13523;33124;14898;59268;50575;55094;46451;5590;2315;5367;2830
235;Bamberg;9;Christlich-Soziale Union in Bayern e.V.;179277;182586;179277;182586;155528;148660;155528;148660;671;865;474;592;154857;147795;155054;148068;22569;28123;17554;25698;;;;;20762;22728;19474;21898;4709;9821;6095;14336;28887;13279;29977;14284;61044;54726;57363;49463;7914;3625;10111;4676
236;Bayreuth;9;Christlich-Soziale Union in Bayern e.V.;158660;162430;158660;162430;134080;129136;134080;129136;614;806;399;606;133466;128330;133681;128530;19068;24840;16404;26584;;;;;11000;14064;13155;15647;3728;9182;4987;12020;25068;10777;26682;11636;59366;54465;51467;43768;6113;2577;7605;3294
237;Coburg;9;Christlich-Soziale Union in Bayern e.V.;153392;156571;153392;156571;128802;123864;128802;123864;627;921;495;704;128175;122943;128307;123160;18425;32056;18401;31087;;;;;10942;10581;9603;11459;2489;6369;4135;10683;26821;11878;28512;12836;53726;44890;47709;39343;5018;2337;6965;3118
238;Hof;9;Christlich-Soziale Union in Bayern e.V.;157915;162872;157915;162872;129452;125334;129452;125334;790;879;452;775;128662;124455;129000;124559;22966;29763;17420;30426;;;;;6392;7941;7802;9628;3165;6493;4031;10552;30614;14705;31308;14560;51926;51312;48966;41308;5790;2651;6848;3004
239;Kulmbach;9;Christlich-Soziale Union in Bayern e.V.;165446;168923;165446;168923;141537;137178;141537;137178;771;781;462;671;140766;136397;141075;136507;13210;22103;15327;27009;;;;;9232;10165;10176;11966;2838;6480;4550;11399;30698;14416;32988;15774;69446;65163;56803;49389;5361;2448;6210;2982
240;Ansbach;9;Christlich-Soziale Union in Bayern e.V.;240854;243174;240854;243174;203889;192508;203889;192508;1082;1514;707;1022;202807;190994;203182;191486;26716;33819;24614;37642;;;;;18247;21343;19216;22325;5372;13016;6859;16213;43010;18418;43681;19142;84718;73312;75746;63299;9432;3798;10146;4904
241;Erlangen;9;Christlich-Soziale Union in Bayern e.V.;186493;187299;186493;187299;162266;155377;162266;155377;847;946;467;669;161419;154431;161799;154708;28003;32036;22444;30146;;;;;29337;29923;29142;31222;4761;10382;6888;16062;22637;10669;23505;10872;57972;54223;54595;44664;9115;;11552;5817
242;Fürth;9;Christlich-Soziale Union in Bayern e.V.;248261;250730;248261;250730;208331;197939;208331;197939;1181;1438;822;996;207150;196501;207509;196943;36976;47153;29393;42329;;;;;22507;27111;25808;29778;6095;12883;8087;18765;38338;16858;39098;17692;77540;65876;71334;58976;12636;6221;14099;6946
243;Nürnberg-Nord;9;–;187178;188283;187178;188283;151378;145212;151378;145212;889;1006;635;726;150489;144206;150743;144486;26739;31616;23568;30232;;;;;32432;32541;29683;34055;4976;10882;6530;14692;18093;8485;18303;8887;45420;41027;41084;34349;14697;7726;19233;8627
244;Nürnberg-Süd;9;Christlich-Soziale Union in Bayern e.V.;174758;177316;174758;177316;136867;129560;136867;129560;1005;1137;714;847;135862;128423;136153;128713;24212;31098;20814;29195;;;;;14729;15566;15262;17687;3557;8777;4872;11495;27132;13123;26901;12901;48915;44192;43914;38663;10811;5184;11682;4893
245;Roth;9;Christlich-Soziale Union in Bayern e.V.;227701;229279;227701;229279;197174;189675;197174;189675;990;1392;630;945;196184;188283;196544;188730;25556;31806;26319;38786;;;;;24180;25140;23879;26197;5524;12596;7482;16974;33197;14944;35443;16043;84143;71478;74208;60980;9949;5076;10626;4950
246;Aschaffenburg;9;Christlich-Soziale Union in Bayern e.V.;180280;182652;180280;182652;155319;146772;155319;146772;984;1234;742;1052;154335;145538;154577;145720;19006;24893;19697;30232;;;;;18230;19588;17251;20642;5169;11683;6833;16199;28439;13954;29410;13716;67592;59269;58806;45739;7335;3536;9277;4068
247;Bad Kissingen;9;Christlich-Soziale Union in Bayern e.V.;210364;214061;210364;214061;180549;174164;180549;174164;7630;1624;734;1059;172919;172540;179815;173105;25127;32844;17374;30540;;;;;10616;16467;13320;15874;8443;12206;6462;15211;;17130;41399;18434;87357;67458;75099;65063;9962;4475;8239;4820
248;Main-Spessart;9;Christlich-Soziale Union in Bayern e.V.;191994;194408;191994;194408;165485;158133;165485;158133;947;1348;598;1066;164538;156785;164887;157067;25758;33700;20525;32771;;;;;13734;15813;14699;17806;3807;9514;5892;14151;29811;12576;31911;13918;74872;60489;67725;54097;6798;4070;8065;3685
249;Schweinfurt;9;Christlich-Soziale Union in Bayern e.V.;194070;196710;194070;196710;163493;157357;163493;157357;1008;1554;656;1005;162485;155803;162837;156352;21832;29037;18705;30482;;;;;12894;14747;14828;17085;3992;12408;5823;15039;33826;15468;34401;15687;70454;63697;64165;54441;7606;6552;8467;4928
250;Würzburg;9;Christlich-Soziale Union in Bayern e.V.;222633;224907;222633;224907;192414;185659;192414;185659;1014;2155;559;957;191400;183504;191855;184702;26348;33125;25877;37079;;;;;36590;36295;31416;35634;8009;19414;8492;19230;24815;;25961;12220;74909;67651;68556;55957;9764;7522;15639;7027
251;Augsburg-Stadt;9;–;186447;187164;186447;187164;148106;137597;148106;137597;803;912;547;776;147303;136685;147559;136821;20701;24843;19791;26332;;;;;30321;29348;24311;27142;4138;11579;6076;15265;25488;11739;25826;12120;45744;37239;41917;33772;10969;6716;15568;6532
252;Augsburg-Land;9;Christlich-Soziale Union in Bayern e.V.;231356;231978;231356;231978;199572;189816;199572;189816;985;1492;640;996;198587;188324;198932;188820;25217;28108;21263;31693;;;;;18277;23359;21838;24561;5509;14379;7946;20767;37562;18069;38629;18010;88361;75875;79039;62299;7841;3531;9555;4042
253;Donau-Ries;9;Christlich-Soziale Union in Bayern e.V.;192384;192451;192384;192451;163307;154277;163307;154277;665;1077;543;805;162642;153200;162764;153472;19718;29501;15226;25344;;;;;9398;10833;11852;14619;3894;9724;6071;15325;34914;15499;36832;16872;73296;62953;67120;54006;5536;2990;6250;2804
254;Neu-Ulm;9;Christlich-Soziale Union in Bayern e.V.;215190;214619;215190;214619;178448;166513;178448;166513;1057;1321;660;1009;177391;165192;177788;165504;18762;27471;19104;29232;;;;;14869;18859;15920;18880;5121;12809;7349;19447;41999;19598;41290;19350;75357;61066;65849;51592;8006;3169;9318;4041
255;Memmingen – Unterallgäu;9;Christlich-Soziale Union in Bayern e.V.;159352;158711;159352;158711;134549;126025;134549;126025;948;1007;419;637;133601;125018;134130;125388;12674;15977;12136;18633;;;;;10821;13902;11191;13216;3937;9896;5528;14106;30372;14771;31392;14492;58477;46914;52441;40140;6213;2749;5944;2787
256;Oberallgäu;9;Christlich-Soziale Union in Bayern e.V.;227116;228803;227116;228803;191708;181755;191708;181755;999;1617;720;1014;190709;180138;190988;180741;16061;28401;20116;29910;;;;;23667;27817;23602;27393;8116;23604;8216;20953;31804;14473;33444;14350;70228;53566;72528;55017;7461;4911;10016;5043
257;Ostallgäu;9;Christlich-Soziale Union in Bayern e.V.;161049;160260;161049;160260;136863;128337;136863;128337;937;975;448;643;135926;127362;136415;127694;13576;15108;12772;19969;;;;;14112;15677;13673;16147;3543;9240;5211;13533;26565;11676;27434;11732;61893;51276;54701;41319;6099;4767;6460;3194
9;Bayern;99;;9464900;9517664;9464900;9517664;7997019;7608980;7997019;7608980;48701;55864;25897;37667;7948318;7553116;7971122;7571313;1016849;1316303;920748;1361242;;;;;969643;1023735;957169;1067830;246859;579804;333361;798591;1384089;634098;1515533;679915;3271730;2788048;2963732;2402827;366094;187530;456663;210838
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Stuttgart I;8;BÜNDNIS 90/DIE GRÜNEN;188917;191811;188917;191811;162092;157514;162092;157514;912;832;415;676;161180;156682;161677;156838;25231;20012;24194;31003;45652;36605;42315;31536;45668;62594;40810;44559;9327;16504;11751;26036;13843;6295;14422;6591;;;;;14200;6447;17528;8127
259;Stuttgart II;8;–;174909;178958;174909;178958;139573;133588;139573;133588;1076;1124;631;892;138497;132464;138942;132696;22055;27224;22564;30198;42059;34312;37214;28403;29438;31446;24215;28221;5789;14678;8085;20273;20165;9603;19979;9541;;;;;12414;6294;15095;6739
260;Böblingen;8;Christlich Demokratische Union Deutschlands;243100;245553;243100;245553;204959;195335;204959;195335;1381;1541;942;1221;203578;193794;204017;194114;34197;40844;29381;39955;76031;57504;67755;50675;27409;30211;28451;32594;12438;32184;14312;35082;34826;16175;35769;16810;;;;;9936;4548;12167;5141
261;Esslingen;8;Christlich Demokratische Union Deutschlands;165367;166628;165367;166628;139385;131888;139385;131888;777;868;583;767;138608;131020;138802;131121;22446;28501;21533;29852;51329;41976;45134;33175;21500;24058;20809;23902;6021;16011;7966;20901;21754;9123;22299;9733;;;;;9177;3477;9942;4063
262;Nürtingen;8;Christlich Demokratische Union Deutschlands;203453;205967;203453;205967;173210;165777;173210;165777;1080;1302;780;1207;172130;164475;172430;164570;28298;34617;24364;33995;64951;49506;58091;42826;24794;29619;23392;27702;9105;22765;11503;28807;30578;13597;31029;14327;;;;;9264;3970;9951;4357
263;Göppingen;8;Christlich Demokratische Union Deutschlands;174712;177107;174712;177107;143878;135606;143878;135606;1197;1599;839;1183;142681;134007;143039;134423;24232;31824;20544;31422;52945;41558;47870;35079;13239;15932;13447;16916;5839;16481;7925;21723;32263;15818;33279;15412;;;;;6812;2958;7797;3338
264;Waiblingen;8;Christlich Demokratische Union Deutschlands;219692;221775;219692;221775;184963;175841;184963;175841;1227;1434;868;1092;183736;174407;184095;174749;31594;39642;26984;37753;69223;50566;61351;44987;22702;26224;23496;27098;10519;27123;12485;30999;33167;15196;34225;15474;;;;;9725;4464;10731;5001
265;Ludwigsburg;8;Christlich Demokratische Union Deutschlands;212479;215312;212479;215312;179564;171843;179564;171843;1138;1300;773;1001;178426;170543;178791;170842;27089;31409;27023;37284;65151;50297;57281;42297;28624;34663;26602;31433;9136;23891;11448;27611;30109;14392;30184;14313;;;;;11130;4886;12277;5275
266;Neckar-Zaber;8;Christlich Demokratische Union Deutschlands;228597;230738;228597;230738;195892;186673;195892;186673;1272;1622;879;1237;194620;185051;195013;185436;29182;41708;28171;41369;76390;56249;64629;46315;22573;29015;23637;29048;7695;22792;12296;30783;37965;18478;39633;18702;;;;;9924;4357;10386;4851
267;Heilbronn;8;Christlich Demokratische Union Deutschlands;238592;240951;238592;240951;194706;182804;194706;182804;1705;1863;1256;1749;193001;180941;193450;181055;29914;43887;27713;40961;67516;50299;56936;43325;16637;23018;18307;23476;9853;24748;12027;29386;48360;23093;49239;23828;;;;;11484;4237;11923;5137
268;Schwäbisch Hall – Hohenlohe;8;Christlich Demokratische Union Deutschlands;224446;225874;224446;225874;186104;172687;186104;172687;1415;1561;1092;1457;184689;171126;185012;171230;27498;33568;24445;37272;67217;54894;58817;41947;18528;25825;18083;22734;8307;19941;10582;27850;44361;20579;46423;21787;;;;;8902;4090;9845;4980
269;Backnang – Schwäbisch Gmünd;8;Christlich Demokratische Union Deutschlands;175503;177062;175503;177062;146412;136436;146412;136436;1272;1435;727;1012;145140;135001;145685;135424;23853;32904;20169;29341;53070;41176;47465;34991;15498;15587;15531;18579;5844;16198;7846;21397;33945;15802;33898;15979;;;;;7486;3929;8422;3927
270;Aalen – Heidenheim;8;Christlich Demokratische Union Deutschlands;217828;220686;217828;220686;180562;168655;180562;168655;1738;1722;1009;1410;178824;166933;179553;167245;25137;36501;25288;39468;74007;61832;62269;45852;14872;20364;16827;21226;6425;15708;8745;24562;41336;16988;41365;17937;;;;;8987;3905;9696;4538
271;Karlsruhe-Stadt;8;BÜNDNIS 90/DIE GRÜNEN;202812;205608;202812;205608;168556;159591;168556;159591;1126;1350;712;1123;167430;158241;167844;158468;25553;33630;26164;33828;39599;30921;37646;27998;51305;47473;40424;44011;6399;15793;8657;20615;22985;10811;22677;10774;;;;;13354;7956;18801;8910
272;Karlsruhe-Land;8;Christlich Demokratische Union Deutschlands;207276;209147;207276;209147;176250;167946;176250;167946;1476;1687;848;1313;174774;166259;175402;166633;26152;37948;26361;38474;68439;50581;58135;42831;22739;27755;23378;26969;7333;19066;9721;24660;32290;14963;33393;15869;;;;;8836;4040;9790;4483
273;Rastatt;8;Christlich Demokratische Union Deutschlands;200964;204890;200964;204890;163983;155331;163983;155331;1529;1736;1050;1531;162454;153595;162933;153800;24570;34847;23552;36442;63111;50988;54349;41495;18275;19962;17673;21926;5727;17764;8032;21250;36075;16455;36771;16333;;;;;7609;4212;8737;4280
274;Heidelberg;8;–;218284;218431;218284;218431;186540;177868;186540;177868;1156;1231;799;1064;185384;176637;185741;176804;29464;35602;31556;40275;54060;42582;48787;36783;51423;53288;40599;45314;6767;15906;10535;23240;22182;10823;22414;10821;;;;;13225;6987;18830;8624
