WKR_NR;Gebiet;gehört zu;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;CDU;CDU;CDU;CDU;SPD;SPD;SPD;SPD;AFD;AFD;AFD;AFD;FDP;FDP;FDP;FDP;DIELINKE;DIELINKE;DIELINKE;DIELINKE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;CSU;CSU;CSU;CSU
;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode
149;Olpe – Märkischer Kreis I;5;203350;206716;203350;206716;154830;152542;154830;152542;1446;1782;1159;1253;153384;150760;153671;151289;56879;72158;50364;61394;45366;39699;42362;35269;13104;13306;13100;13847;15944;13230;19227;20758;3935;7197;4150;8205;13645;5170;15243;6866;;;;
150;Märkischer Kreis II;5;195816;200546;195816;200546;143689;145474;143689;145474;1229;3381;1081;1252;142460;142093;142608;144222;47937;53714;40368;49061;43346;54890;42230;37193;12933;;13082;16688;12749;15221;17125;19328;4668;11113;4804;9427;12866;5356;14880;7060;;;;
5;Nordrhein-Westfalen;99;13040267;13174577;13040267;13174577;9960984;9938461;9960984;9938461;92465;124291;72954;85084;9868519;9814170;9888030;9853377;2973458;3756952;2566719;3214013;3068628;3073698;2880226;2557876;705020;799777;717510;928425;851337;787235;1130154;1293052;317869;626631;366947;736904;1500696;641360;1587067;744970;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;Nordsachsen;14;161279;163916;161279;163916;119206;118170;119206;118170;1541;1732;1449;1607;117665;116438;117757;116563;26883;38207;23000;34321;22257;16248;24732;14519;32702;31244;32066;31301;10251;7641;12476;9189;9446;20028;8868;17173;5883;3070;5462;3021;;;;
152;Leipzig I;14;224100;220654;224100;220654;167696;161407;167696;161407;1569;1626;1277;1477;166127;159781;166419;159930;34107;43919;24953;37622;33588;26330;34748;20674;26450;32702;25891;33291;13397;9074;17660;13565;25436;31132;20884;31137;19778;8735;25848;11300;;;;
153;Leipzig II;14;231178;227718;231178;227718;180880;175198;180880;175198;1421;1562;1043;1414;179459;173636;179837;173784;29538;42778;23561;38111;29731;23787;37634;22725;20667;25968;20213;27774;13271;10052;17439;14866;40938;43948;26472;39058;32995;17273;38264;18154;;;;
154;Leipzig-Land;14;212853;215616;212853;215616;162283;161321;162283;161321;2042;2317;1836;1930;160241;159004;160447;159391;39066;54152;32711;47944;31989;18221;34104;18139;39348;45563;38458;42823;15698;10048;18322;12859;12672;24801;12362;23368;8056;6219;9381;5157;;;;
155;Meißen;14;197004;201310;197004;201310;149341;152988;149341;152988;1904;2056;1747;2075;147437;150932;147594;150913;32924;55326;25912;39406;22771;13486;26045;13148;45705;46765;43940;49615;13727;7991;17212;13156;10344;19122;10725;20111;7590;5051;8872;5531;;;;
156;Bautzen I;14;206895;213990;206895;213990;159233;161319;159233;161319;2098;2443;2145;2477;157135;158876;157088;158842;40929;48579;29213;42995;21006;15836;26674;14378;52492;52770;50050;52041;12634;9247;17187;12122;14134;24221;12272;22597;4090;3247;6247;3768;;;;
157;Görlitz;14;204105;213021;204105;213021;153057;156089;153057;156089;2234;2446;2064;2369;150823;153643;150993;153720;39299;48256;27630;41000;18928;16801;25441;14249;53970;49834;49123;50551;11222;7661;15039;10810;11835;20853;11327;21534;6182;4995;7358;4476;;;;
158;Sächsische Schweiz-Osterzgebirge;14;199703;202580;199703;202580;154159;156342;154159;156342;2120;2443;2005;1967;152039;153899;152154;154375;29176;44354;26028;39581;17505;11100;23545;12040;50203;57554;48580;54749;12920;9933;17814;12795;15215;22614;11653;19708;6830;4575;8023;4643;;;;
159;Dresden I;14;228643;232636;228643;232636;181120;182849;181120;182849;1577;2202;1394;1731;179543;180647;179726;181118;37811;44388;27710;44104;26271;23906;34125;19246;33780;40380;32122;41812;18588;13590;21989;18610;33872;37936;18910;31004;17137;11765;27369;13936;;;;
160;Dresden II – Bautzen II;14;234432;235464;234432;235464;189409;186818;189409;186818;1649;2125;1404;1654;187760;184693;188005;185164;35014;47185;26037;42792;28700;20593;30620;17977;34979;41202;36003;43126;20711;12843;22884;17684;22160;32397;20913;32040;25527;15839;31265;16588;;;;
161;Mittelsachsen;14;193828;201629;193828;201629;147733;150648;147733;150648;2005;1974;1741;1759;145728;148674;145992;148889;34638;48230;25603;41189;25727;17782;27000;14487;48725;46827;43821;46522;14420;8652;16897;11767;12164;20785;11687;21582;5398;4626;6822;4112;;;;
162;Chemnitz;14;188691;195929;188691;195929;140700;147218;140700;147218;1371;1665;1121;1347;139329;145553;139579;145871;25801;38653;20713;36270;34958;22413;32616;17373;30502;34958;30089;35456;13934;9535;15781;12184;15229;28213;15008;28010;9934;6157;12680;6818;;;;
163;Chemnitzer Umland – Erzgebirgskreis II;14;177211;183483;177211;183483;137423;138891;137423;138891;1664;2221;1441;1708;135759;136670;135982;137183;32111;48012;24662;41947;23181;14142;27518;14524;39264;36388;37181;36746;11872;10345;15117;10542;11330;23174;11166;20972;5617;4609;6138;3850;;;;
164;Erzgebirgskreis I;14;210941;220917;210941;220917;161756;166701;161756;166701;2261;3149;2121;2730;159495;163552;159635;163971;40550;56716;31340;50759;23650;14707;28848;15452;50571;49465;48794;47952;11914;11820;16210;12106;12787;24808;12078;23090;4001;4334;5194;3661;;;;
165;Zwickau;14;197831;207606;197831;207606;147142;150950;147142;150950;1854;7570;1596;2121;145288;143380;145546;148829;30798;48347;27024;45106;24094;18219;30718;16131;37135;;36601;38964;13991;19181;15431;11253;22583;36881;13629;24665;5988;6513;7134;4327;;;;
166;Vogtlandkreis;14;184973;193081;184973;193081;137816;142775;137816;142775;2065;2420;1673;1914;135751;140355;136143;140861;37637;49104;26782;42604;26413;15538;30436;16043;36388;36428;34112;37217;11512;7836;13708;10154;12655;21809;12058;22578;6378;5292;6263;4266;;;;
14;Sachsen;99;3253667;3329550;3253667;3329550;2488954;2509684;2488954;2509684;29375;39951;26057;30280;2459579;2469733;2462897;2479404;546282;756206;422879;665751;410769;289109;474804;261105;632881;628048;607044;669940;220062;165449;271166;203662;282800;432722;230012;398627;171384;112300;212320;113608;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;Waldeck;6;184073;186825;184073;186825;138130;142852;138130;142852;2140;2214;2087;2119;135990;140638;136043;140733;35734;47269;30392;42232;51613;49341;49064;43446;12536;15438;12899;16411;12062;9930;15288;13918;4208;8600;4441;9891;13581;8062;14775;9660;;;;
168;Kassel;6;218474;222451;218474;222451;162809;167855;162809;167855;2213;2577;1980;2452;160596;165278;160829;165403;32765;44425;28183;41736;57919;58759;51812;46769;11348;16501;12141;17288;12966;9759;16448;15046;9357;14472;10518;18677;27744;15466;30348;18935;;;;
169;Werra-Meißner – Hersfeld-Rotenburg;6;171886;175992;171886;175992;130905;133726;130905;133726;1865;2494;1879;2659;129040;131232;129026;131067;34527;39302;27867;38531;56383;54033;48579;42737;14204;16411;14899;17173;7135;6594;12807;11096;3890;7281;4524;8746;8032;5236;11595;7843;;;;
170;Schwalm-Eder;6;185944;188074;185944;188074;141494;145743;141494;145743;2240;2656;2323;2691;139254;143087;139171;143052;33443;43514;29913;41795;54792;53892;50100;44847;14380;17198;15047;18504;12234;9298;15422;13118;3761;7852;4411;9270;12360;8003;14089;9436;;;;
171;Marburg;6;181588;183296;181588;183296;141581;142365;141581;142365;1503;1799;1312;1579;140078;140566;140269;140786;36528;46888;31042;42377;51630;50214;42098;37202;12591;14378;12558;16125;9334;6044;14789;12191;6588;11557;8089;14420;18709;8989;22347;13088;;;;
172;Lahn-Dill;6;206532;208744;206532;208744;153384;155002;153384;155002;2339;2448;1984;2201;151045;152554;151400;152801;45441;58417;37725;51125;49923;45375;44546;37794;15816;17874;17513;20931;12060;9590;17327;14821;4756;7116;5102;10210;13754;8909;16957;10768;;;;
173;Gießen;6;217514;217806;217514;217806;161919;166621;161919;166621;2144;2463;2217;2308;159775;164158;159702;164313;47283;57610;36201;49518;48514;46216;44046;39252;14496;18918;14836;20358;12109;12641;17106;16926;6339;10346;8028;13798;21249;13619;26109;15898;;;;
174;Fulda;6;208542;209966;208542;209966;163560;161981;163560;161981;1895;2682;1856;3299;161665;159299;161704;158682;61573;71946;50312;61811;35168;32150;36343;28745;24508;27990;21443;25145;13894;8437;20528;17122;4648;7669;4447;9266;13833;8874;16324;10593;;;;
175;Main-Kinzig – Wetterau II – Schotten;6;178307;179307;178307;179307;137070;138193;137070;138193;2186;2324;2033;2167;134884;135869;135037;136026;37118;49479;32685;43147;41160;38462;36943;32069;17586;20172;17079;20927;15098;8326;17046;14144;4078;8007;4308;8938;12691;7346;15009;9614;;;;
176;Hochtaunus;6;179842;181516;179842;181516;144012;146315;144012;146315;1556;2055;1330;1706;142456;144260;142682;144609;44549;57579;37331;48436;38424;33201;35171;28947;10709;15075;11156;16132;16132;14954;21996;21713;3772;8556;4441;9562;21769;12884;22486;14074;;;;
177;Wetterau I;6;176897;176435;176897;176435;138935;138853;138935;138853;2010;1932;1678;1633;136925;136921;137257;137220;38807;49891;32419;43951;40618;39773;35909;31152;11318;14987;11680;15895;15000;11047;19043;17462;3904;6719;4905;9249;18996;11368;21917;13002;;;;
178;Rheingau-Taunus – Limburg;6;220466;220342;220466;220342;172247;173627;172247;173627;2267;2289;1765;2002;169980;171338;170482;171625;51318;71555;44413;59346;48441;43427;43708;35604;13547;17439;14523;20399;18126;13053;23745;22650;4563;9394;5395;11069;24418;12020;25328;15273;;;;
179;Wiesbaden;6;186735;189372;186735;189372;136214;139775;136214;139775;1607;1810;1348;1546;134607;137965;134866;138229;35375;47309;28523;40022;34750;39396;33546;29247;9192;14417;9588;15496;13995;9693;18947;18400;6652;10558;7128;13160;25811;12321;26818;16286;;;;
180;Hanau;6;176271;177469;176271;177469;131412;134190;131412;134190;2036;2131;1760;1867;129376;132059;129652;132323;36019;46656;29223;39126;40291;40185;35739;31150;13364;16907;13257;18626;13106;8418;17158;15185;4462;7715;4948;10006;15995;8054;18258;11345;;;;
181;Main-Taunus;6;195514;197291;195514;197291;157718;160647;157718;160647;1782;2122;1437;1788;155936;158525;156281;158859;51985;66490;42260;54902;35493;34527;34468;28786;10588;15319;10427;16395;20295;17224;26335;26571;4272;7887;4708;9504;26373;14458;26771;16752;;;;
182;Frankfurt am Main I;6;201216;199775;201216;199775;145010;144841;145010;144841;1507;1792;1247;1614;143503;143049;143763;143227;31163;43663;25915;37221;41604;38704;32499;29743;7909;12892;7846;13342;16369;13185;21361;19989;12562;13934;10384;17179;26922;15596;33821;19475;;;;
183;Frankfurt am Main II;6;227207;223942;227207;223942;175004;172393;175004;172393;1752;1824;1353;1620;173252;170569;173651;170773;38995;55221;31660;45731;40431;44240;38777;33511;7990;13033;8188;13737;19766;13877;25530;24336;10629;15523;11901;20059;50230;23026;44370;26415;;;;
184;Groß-Gerau;6;174082;174727;174082;174727;129261;133318;129261;133318;1925;2461;1677;2138;127336;130857;127584;131180;35334;45963;27301;39950;42598;42342;37973;33318;10880;14805;11246;15943;10726;7358;14999;12645;5047;8729;5394;10755;14890;8877;18928;11862;;;;
185;Offenbach;6;219511;220194;219511;220194;158052;163580;158052;163580;2331;2597;2238;2286;155721;160983;155814;161294;43347;58565;35754;49302;41035;40106;38799;34519;11851;18047;12098;19050;14828;12420;20625;20372;7497;12435;7787;14261;26229;14246;27062;16421;;;;
186;Darmstadt;6;240763;242622;240763;242622;188916;192508;188916;192508;2462;2733;1888;2133;186454;189775;187028;190375;42351;58216;34472;52218;51046;56442;49273;42638;11210;17227;12194;18654;17192;11739;22256;20893;9332;16146;10764;19508;44364;26939;41948;27317;;;;
187;Odenwald;6;233901;234422;233901;234422;179830;184974;179830;184974;3020;3143;2704;2745;176810;181831;177126;182229;49367;65654;42857;59635;57172;52761;49518;42516;14963;21347;15983;22258;17110;13139;22433;19948;5991;11138;6333;13433;21630;14181;24694;16084;;;;
188;Bergstraße;6;197782;198418;197782;198418;153176;156082;153176;156082;1926;2343;1733;1988;151250;153739;151443;154094;46125;59781;37064;51088;41124;41408;41124;34435;14351;19153;14377;19923;16175;11711;20432;18196;4149;8511;4629;10197;20955;11747;21457;13595;;;;
6;Hessen;99;4383047;4408986;4383047;4408986;3340639;3395441;3340639;3395441;44706;50889;39829;46541;3295933;3344552;3300810;3348900;909147;1185393;753512;1033200;1000129;974954;910035;788427;285337;375528;290978;398712;315712;238437;421621;386742;130457;220145;142585;271158;480535;270221;521411;323736;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;Eichsfeld – Nordhausen – Kyffhäuserkreis;16;209203;216673;209203;216673;154488;158339;154488;158339;1998;2264;1810;2410;152490;156075;152678;155929;40599;59318;33662;52667;34010;22320;37282;21652;34645;33402;34296;32854;10348;7633;13695;11974;16586;23848;15166;22613;5901;3992;7176;4778;;;;
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;16;212267;219822;212267;219822;156113;161171;156113;161171;2105;2298;1892;2244;154008;158873;154221;158927;35415;54657;28249;47735;36729;24176;38363;22899;38166;33644;37737;35402;8869;7983;13258;11399;17216;24607;15872;24879;5447;4990;7469;5523;;;;
191;Jena – Sömmerda – Weimarer Land I;16;198697;203210;198697;203210;154163;155210;154163;155210;1912;2315;1588;1854;152251;152895;152575;153356;28170;44684;23869;42092;30673;21668;34195;19150;29578;29451;30263;30426;10686;8939;14070;13310;25741;32680;19505;28312;14656;7544;16709;9497;;;;
192;Gotha – Ilm-Kreis;16;190519;196466;190519;196466;142566;146721;142566;146721;1982;2461;1918;2180;140584;144260;140648;144541;25918;41744;21820;40144;33085;26892;33437;20210;37249;34524;36522;34818;9494;8721;12126;11122;15579;22462;15454;22699;6498;4769;8100;5365;;;;
193;Erfurt – Weimar – Weimarer Land II;16;217944;221922;217944;221922;166604;168235;166604;168235;1942;2310;1606;2077;164662;165925;164998;166158;28639;45305;23580;42168;40185;30257;39378;23535;27235;28960;26803;30166;12309;9975;15504;14260;26972;30948;23055;32239;19483;11722;21831;12666;;;;
194;Gera – Greiz – Altenburger Land;16;229588;240738;229588;240738;168147;176933;168147;176933;2517;2820;2104;2541;165630;174113;166043;174392;33067;52980;27303;47690;36760;20627;36326;19845;48034;47558;46659;47275;14273;9712;16212;14315;19421;32573;18666;30402;6293;3652;7331;4709;;;;
195;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;16;219437;227191;219437;227191;166531;170493;166531;170493;2037;2511;1908;2108;164494;167982;164623;168385;34489;51954;27008;47445;30791;19585;35019;20259;48177;44422;46381;43318;12343;10248;15428;13107;19968;28714;18489;27874;6292;5690;7383;5093;;;;
196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;16;230071;240992;230071;240992;171108;174950;171108;174950;2146;2406;1983;2190;168962;172544;169125;172760;37729;57871;27923;52317;56791;23277;42446;23482;35887;39505;44572;39810;10686;8368;13990;11642;14135;31362;18486;29194;3615;4560;7221;5709;;;;
16;Thüringen;99;1707726;1767014;1707726;1767014;1279720;1312052;1279720;1312052;16639;19385;14809;17604;1263081;1292667;1264911;1294448;264026;408513;213414;372258;299024;188802;296446;171032;298971;291466;303233;294069;89008;71579;114283;101129;155618;227194;144693;218212;68185;46919;83220;53340;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;Neuwied;7;238118;239284;238118;239284;181837;181607;181837;181607;2058;3402;1544;2547;179779;178205;180293;179060;57430;76933;48338;68357;54320;50996;54018;45447;16810;16954;17504;19273;15931;10898;20751;18071;5005;9521;5417;11338;16559;9449;18930;10738;;;;
198;Ahrweiler;7;195109;195618;195109;195618;148466;151587;148466;151587;1861;1992;1379;1598;146605;149595;147087;149989;50281;64006;41942;60937;44325;40944;42303;34113;10823;13105;11322;14437;12124;12981;17484;17397;3537;6790;3851;8519;15553;8616;17685;10059;;;;
199;Koblenz;7;193035;196999;193035;196999;147127;151153;147127;151153;1815;2144;1224;1524;145312;149009;145903;149629;46073;61594;37958;56616;43416;42777;42817;35679;9753;12153;10426;13701;11179;9732;16371;16152;4054;7693;4804;10332;17980;9273;21007;11862;;;;
200;Mosel/Rhein-Hunsrück;7;171102;172876;171102;172876;134717;135519;134717;135519;2348;2691;1455;1815;132369;132828;133262;133704;45364;58596;38664;55606;35570;33477;38015;30799;10646;10834;11061;11996;15664;11544;16664;14924;;7040;3725;8143;12833;6465;12230;7487;;;;
201;Kreuznach;7;182380;185172;182380;185172;138109;139908;138109;139908;2008;2114;1451;1697;136101;137794;136658;138211;39589;50975;33433;47189;44976;43373;44259;37906;12972;14914;13510;16198;9753;9342;15704;13654;4294;7610;4454;9493;9958;6750;12903;8629;;;;
202;Bitburg;7;163493;164480;163493;164480;124449;126879;124449;126879;1852;2497;1395;1831;122597;124382;123054;125048;46340;63719;37086;55591;33632;32017;34343;27255;7947;8840;8794;10058;9011;8703;13997;12888;2875;6786;3265;7433;8512;;11411;7710;;;;
203;Trier;7;190530;192846;190530;192846;147171;151551;147171;151551;1738;2213;1540;1670;145433;149338;145631;149881;40299;56611;34578;55882;47942;50283;44123;36950;8230;10414;9001;11926;10135;7910;16206;13841;5126;9842;5712;12934;18939;9645;22708;13512;;;;
204;Montabaur;7;210816;210114;210816;210114;164165;163520;164165;163520;2172;4823;1454;1761;161993;158697;162711;161759;48607;68727;43125;60594;50975;47312;49346;39906;14090;;14565;17826;15101;14543;19021;17703;4483;11098;4690;9576;14176;8225;16832;10058;;;;
205;Mainz;7;249630;248996;249630;248996;202670;202534;202670;202534;2669;2215;1382;1655;200001;200319;201288;200879;47153;71535;42659;65713;49878;56184;53889;44203;10360;14542;10833;16535;14408;13813;23178;22608;24863;12904;9418;17148;37319;21685;46183;26415;;;;
206;Worms;7;212943;213627;212943;213627;166636;169793;166636;169793;2491;2617;1814;2128;164145;167176;164822;167665;52827;68685;37548;54721;49748;44569;49656;42471;16043;18902;17033;21978;12966;10058;20095;17543;5070;8539;5068;10811;15949;11280;20799;13449;;;;
207;Ludwigshafen/Frankenthal;7;210969;215595;210969;215595;154911;161867;154911;161867;2122;2686;1653;2410;152789;159181;153258;159457;38193;51168;33726;49226;50108;50740;45895;39822;17740;23109;18075;24641;13688;11910;18421;16321;4648;8979;4651;10614;17061;8700;18128;11621;;;;
208;Neustadt – Speyer;7;219416;220550;219416;220550;173828;176425;173828;176425;2178;2704;1506;2088;171650;173721;172322;174337;51770;69504;41322;61407;48158;44032;47121;37894;17204;20593;17499;22070;14624;11734;21823;19251;4535;8207;4880;10537;20869;13156;23949;15389;;;;
209;Kaiserslautern;7;224701;229114;224701;229114;169206;172316;169206;172316;2409;2937;1742;2552;166797;169379;167464;169764;35803;53022;33226;49400;56523;57482;54460;47986;20002;21378;20702;23206;11870;9256;17242;15519;6753;12277;6383;13548;14589;8618;17611;11360;;;;
210;Pirmasens;7;174093;177687;174093;177687;132470;135065;132470;135065;2004;2830;1747;2349;130466;132235;130723;132716;39236;48719;33507;47455;39711;38028;38261;32794;16512;16989;17178;18652;9895;8846;14374;11803;3678;8019;4207;9511;7891;5544;9877;6156;;;;
211;Südpfalz;7;217000;217633;217000;217633;171259;172369;171259;172369;1627;2358;1583;1962;169632;170011;169676;170407;47860;68588;39421;59309;47901;44224;47028;37293;16658;20932;17702;23191;17011;10209;21120;17560;5222;8018;5598;10975;19058;13500;22882;14788;;;;
7;Rheinland-Pfalz;99;3053335;3080591;3053335;3080591;2357021;2392093;2357021;2392093;31352;40223;22869;29587;2325669;2351870;2334152;2362506;686825;932382;576533;848003;697183;676438;685534;570518;205790;223659;215205;265688;193360;161479;272451;245235;84143;133323;76123;160912;247246;140906;293135;179233;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;Altötting;9;168656;168221;168656;168221;129441;126786;129441;126786;880;1248;681;876;128561;125538;128760;125910;;;;;14620;15479;18309;15511;14220;16486;13940;18330;9245;7070;13298;11209;3155;6060;2769;6659;11145;7584;12248;8608;55693;68435;44060;55417
213;Erding – Ebersberg;9;200569;198198;200569;198198;168337;163357;168337;163357;1132;1109;734;755;167205;162248;167603;162602;;;;;24205;24131;25693;19943;11448;16689;12228;19366;13226;11889;20228;19407;3355;6418;3648;8352;24840;16607;24620;17768;70656;78212;55992;63525
214;Freising;9;237250;235746;237250;235746;194002;186647;194002;186647;1237;1470;883;1015;192765;185177;193119;185632;;;;;25950;24916;29085;23029;18042;23222;17515;25178;14687;13400;21738;19308;3898;9265;4456;9506;24058;17439;26055;18036;69689;79545;62930;73650
215;Fürstenfeldbruck;9;231905;232125;231905;232125;192779;190769;192779;190769;1489;1469;927;922;191290;189300;191852;189847;;;;;36831;35454;31141;25929;13056;19352;13209;21934;16029;13661;23046;22005;3216;7699;4192;9633;25363;17244;30537;20886;72721;82602;63944;75621
216;Ingolstadt;9;238384;238605;238384;238605;187395;184059;187395;184059;1167;1587;856;1214;186228;182472;186539;182845;;;;;25954;24799;31592;24424;17806;23720;18694;27673;10877;9310;19797;17154;4648;8817;4450;9830;18182;11515;20833;13205;83663;90383;64577;76236
217;München-Nord;9;223683;226436;223683;226436;175551;174196;175551;174196;880;1075;649;668;174671;173121;174902;173528;;;;;38172;45068;33241;28903;7591;13216;8250;14982;19477;16669;25953;26241;6216;10351;7044;14302;42319;22726;44861;29334;44854;55811;39986;49953
218;München-Ost;9;242591;239169;242591;239169;193958;186913;193958;186913;906;1226;687;745;193052;185687;193271;186168;;;;;38243;39621;36106;29744;8066;13822;8978;15959;18104;16451;27112;27459;4907;11655;7080;14124;42367;28278;47647;29866;61159;68255;49286;58483
219;München-Süd;9;214606;216725;214606;216725;172970;170483;172970;170483;841;1086;599;659;172129;169397;172371;169824;;;;;33924;39873;33117;27500;7641;12921;7910;14578;16437;15332;21495;22587;6236;12611;7669;14694;47256;23343;45562;29560;46059;55894;40585;50686
220;München-West/Mitte;9;242252;241282;242252;241282;198272;193399;198272;193399;955;1322;647;778;197317;192077;197625;192621;;;;;39182;44283;37513;30617;7594;12852;8403;14895;19153;17369;26401;26356;6975;13569;8219;16638;53174;31385;54303;35605;53311;64014;45540;57322
221;München-Land;9;234912;235172;234912;235172;199333;197265;199333;197265;1041;1129;723;900;198292;196136;198610;196365;;;;;30237;31943;34189;27490;9816;16458;10489;18470;18180;18312;28696;30054;3685;7708;4449;9996;40475;26890;36817;24837;77523;85347;64669;73189
222;Rosenheim;9;237390;235170;237390;235170;191410;186492;191410;186492;1346;1544;849;1035;190064;184948;190561;185457;;;;;22869;21890;27406;20967;15764;23988;16570;25697;17682;13750;23049;20311;4091;7036;4607;9449;26183;17307;25962;18571;68670;84981;59126;75178
223;Bad Tölz-Wolfratshausen – Miesbach;9;166662;165527;166662;165527;136106;132612;136106;132612;1765;1358;750;795;134341;131254;135356;131817;;;;;15428;14792;18276;14457;;13025;10835;15391;11636;10702;17048;16343;2643;6922;2908;6486;20829;17786;18138;13605;55501;62465;46304;54786
224;Starnberg – Landsberg am Lech;9;214828;213628;214828;213628;180978;177013;180978;177013;1158;1334;714;747;179820;175679;180264;176266;;;;;23985;29308;28584;22332;10715;15607;11066;17460;16585;16893;23893;24950;3701;6983;4446;9594;35809;20864;32663;23111;68617;73948;57906;67512
225;Traunstein;9;208815;208466;208815;208466;163876;160615;163876;160615;1282;1390;817;1046;162594;159225;163059;159569;;;;;27644;25659;25190;18916;12671;16276;14027;19191;12268;9034;15747;14614;3537;7144;3943;8508;17219;12972;19985;14680;59555;80056;51421;71196
226;Weilheim;9;168473;167159;168473;167159;138039;134333;138039;134333;1444;1295;879;766;136595;133038;137160;133567;;;;;19682;19722;19927;15402;9686;13383;10873;16145;8553;9370;14311;13909;2718;6229;3124;7214;16300;12066;18397;12753;57179;63784;48178;57254
227;Deggendorf;9;166186;166659;166186;166659;127193;119455;127193;119455;691;1064;549;701;126502;118391;126644;118754;;;;;19527;20612;19873;16915;17432;20438;17911;22765;6325;4707;10778;8968;1895;4955;2301;5892;6890;5342;8516;5528;47267;52167;42154;48182
228;Landshut;9;246854;245315;246854;245315;195589;189425;195589;189425;1639;1698;823;1235;193950;187727;194766;188190;;;;;22468;25511;30931;24653;19184;23538;19973;27438;22774;15991;20204;19013;3955;6749;4186;9081;21811;12356;20087;13687;70685;74299;64383;74186
229;Passau;9;177563;177387;177563;177387;136625;131350;136625;131350;1145;1179;573;779;135480;130171;136052;130571;;;;;28341;24611;23892;19709;16215;18328;16023;20967;10513;7900;12782;11918;2681;6246;3093;7357;12098;7248;12645;8393;41530;61835;44215;52937
230;Rottal-Inn;9;173632;173163;173632;173163;133885;127840;133885;127840;1438;1272;639;825;132447;126568;133246;127015;;;;;15794;18142;19108;16207;16808;19081;16384;21024;10210;8931;12904;11563;1912;4971;2487;5699;10188;6219;9495;6647;46493;56767;45687;54087
231;Straubing;9;173772;173953;173772;173953;132955;129424;132955;129424;877;1374;712;1215;132078;128050;132243;128209;;;;;16312;21525;19938;17512;16794;19261;17402;23576;6895;5670;11603;10308;1936;4766;2468;5590;8613;4602;8964;5846;58487;60976;46742;53712
232;Amberg;9;216071;215876;216071;215876;173297;169507;173297;169507;1300;1657;939;1302;171997;167850;172358;168205;;;;;27476;25580;31547;26080;17822;18790;17958;21550;10213;8388;15067;12854;4158;7461;4095;8948;13908;11612;16191;11997;69278;80075;60430;71720
233;Regensburg;9;248192;247794;248192;247794;198937;194824;198937;194824;1225;1835;762;1090;197712;192989;198175;193734;;;;;32850;32392;34563;28112;16557;22677;17343;24928;13754;12014;18773;17415;6023;11600;6798;13096;30333;18135;32094;20108;69842;77207;61187;73135
234;Schwandorf;9;222424;221540;222424;221540;174957;166505;174957;166505;1202;3519;812;1297;173755;162986;174145;165208;;;;;39615;38931;31209;26592;23142;598;23508;28703;7341;7632;12650;10912;3043;8090;3394;7502;7934;6380;11179;7526;60924;78743;59430;68412
235;Weiden;9;165807;168415;165807;168415;132247;130514;132247;130514;823;2323;891;1172;131424;128191;131356;129342;;;;;29573;28614;29461;24631;13523;;14898;17411;6303;5269;9601;8479;2315;5677;2830;6204;6633;4553;9170;6426;50575;59285;46451;55691
