WKR_NR;Gebiet;gehört zu;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;CDU;CDU;CDU;CDU;SPD;SPD;SPD;SPD;AFD;AFD;AFD;AFD;FDP;FDP;FDP;FDP;DIELINKE;DIELINKE;DIELINKE;DIELINKE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;CSU;CSU;CSU;CSU
;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode
23;Hamburg-Bergedorf – Harburg;2;221794;222031;221794;222031;158246;155758;158246;155758;1601;1990;1229;1537;156645;153768;157017;154221;26483;43274;25427;42219;61590;53446;52523;40364;12774;16688;12638;17710;13301;8039;15674;13313;10521;16382;9878;17344;24231;11903;27931;15442;;;;
2;Hamburg;99;1298792;1296656;1298792;1296656;1011044;984926;1011044;984926;7720;9254;5500;6808;1003324;975672;1005544;978118;179572;277677;155220;266312;334831;311889;298342;229862;49828;71527;50537;76511;84603;69178;114602;105610;72507;105242;67578;119076;237328;114485;250532;136371;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Aurich – Emden;3;191846;191541;191846;191541;137847;142676;137847;142676;2286;3092;1653;1605;135561;139584;136194;141071;24019;38531;24066;39552;71596;69231;59038;53353;;;11173;12877;11798;6882;12113;10079;4861;9403;4671;10142;12652;9787;17668;10503;;;;
25;Unterems;3;238506;235234;238506;235234;175826;176342;175826;176342;2079;1553;1550;1390;173747;174789;174276;174952;77143;87406;52067;74173;49440;48959;59229;48194;13584;13387;14248;14620;10763;7758;17671;13629;4358;7726;4650;9459;16434;8255;18576;10258;;;;
26;Friesland – Wilhelmshaven – Wittmund;3;189047;189344;189047;189344;134164;139153;134164;139153;1188;1810;1234;1557;132976;137343;132930;137596;29286;44537;28535;45098;60392;54504;50448;42207;10227;11392;10951;12490;9502;8074;13874;12958;3460;8127;4122;9738;13504;7542;17020;9984;;;;
27;Oldenburg – Ammerland;3;228705;226253;228705;226253;173725;175967;173725;175967;1397;1797;1175;1286;172328;174170;172550;174681;34294;52598;32100;53417;65757;63235;55231;45514;8572;11592;8903;12625;12859;10635;17674;18136;10183;14081;8344;16351;35119;19827;40919;21821;;;;
28;Delmenhorst – Wesermarsch – Oldenburg-Land;3;226827;227696;226827;227696;163753;170194;163753;170194;1781;1966;1595;1375;161972;168228;162158;168819;40410;57390;36649;56526;59377;55326;55621;47622;11999;15122;12987;16392;17278;15208;18571;17076;4931;10262;5046;11567;21202;12933;23973;13525;;;;
29;Cuxhaven – Stade II;3;188602;187679;188602;187679;140739;141726;140739;141726;1067;1433;1023;1007;139672;140293;139716;140719;42085;59930;36586;54163;51417;43077;48858;38923;10227;11862;11000;12650;9622;6984;14052;11483;2694;8121;3672;9121;15389;8491;17553;9709;;;;
30;Stade I – Rotenburg II;3;198576;197297;198576;197297;151821;153044;151821;153044;1188;1192;935;849;150633;151852;150886;152195;52069;67463;39969;59229;47763;42829;48301;37361;10735;12590;11002;13513;12019;8797;16720;14538;4340;7994;4301;9564;19923;10613;22091;12511;;;;
31;Mittelems;3;233253;230151;233253;230151;180543;179811;180543;179811;1330;1187;1104;959;179213;178624;179439;178852;72523;95815;60733;88310;52309;47107;55461;41983;8993;8949;9235;9701;17466;10089;21101;16181;3996;6813;3969;8167;22562;8900;22515;10803;;;;
32;Cloppenburg – Vechta;3;223948;220042;223948;220042;164507;163669;164507;163669;1321;1550;1155;1153;163186;162119;163352;162516;80134;93545;62837;86301;33825;32997;40212;28870;12674;12683;12772;13145;14397;8306;19747;15298;3542;6640;3549;7145;17366;7034;18093;8207;;;;
33;Diepholz – Nienburg I;3;194371;193934;194371;193934;146954;148298;146954;148298;1460;1480;982;1020;145494;146818;145972;147278;49116;65465;36915;55833;46455;40102;48196;37505;9683;11955;10372;12434;13671;10285;17628;15515;4029;7759;3920;8951;19702;11252;21139;11992;;;;
34;Osterholz – Verden;3;197490;196136;197490;196136;151308;153036;151308;153036;1927;1268;1089;1238;149381;151768;150219;151798;50274;59560;36183;53035;48574;48505;49430;40047;;12995;11329;14675;13764;8273;15653;13464;6375;10714;5253;11055;21933;10146;24183;14052;;;;
35;Rotenburg I – Heidekreis;3;168927;168101;168927;168101;125100;127071;125100;127071;934;974;896;967;124166;126097;124204;126104;32720;45510;31119;47558;59131;51938;43196;34211;9182;10331;9945;11671;7354;5659;12526;10699;3010;5219;3536;7422;10035;6053;16857;10068;;;;
36;Harburg;3;201740;199081;201740;199081;161635;161837;161635;161837;1122;1325;893;982;160513;160512;160742;160855;46711;65223;39850;57815;49773;44017;46765;35377;11007;14826;11671;16047;14395;10458;20426;18839;4230;8638;4682;10117;24120;14565;26777;16410;;;;
